Qty,Value,Device,Package,Parts,Description
2,10k,R-US_R0805,R0805,"R1, R2","RESISTOR, American symbol"
2,100k,R-US_R0805,R0805,"R3, R12","RESISTOR, American symbol"
2,47k,R-US_R0805,R0805,"R4, R5","RESISTOR, American symbol"
2,10k,R-US_R1206,R1206,"R6, R9","RESISTOR, American symbol"
1,1k,TRIM_US-CT6,CT6,R7,POTENTIOMETER
5,1k,R-US_R0805,R0805,"R8, R10, R11, R27, R28","RESISTOR, American symbol"
8,10k,4_R2,YC324,"RA1, RA2, RA3, RA4, RA5, RA6, RA8, RA9",
1,470k,4_R2,YC324,RA11,
1,1k,4_R2,YC324,RA12,
2,20k,4_R2,YC324,"RA13, RA16",
1,100k,4_R2,YC324,RA7,
17,0.1u,C-USC0805,C0805,"C1, C2, C4, C13, C16, C17, C18, C19, C37, C38, C41, C43, C46, C48, C49, C58, C60","CAPACITOR, American symbol"
1,100p,C-USC0805,C0805,C11,"CAPACITOR, American symbol"
2,150p,C-USC0805,C0805,"C12, C22","CAPACITOR, American symbol"
1,0.1u,C-USC1206,C1206,C14,"CAPACITOR, American symbol"
1,100n,C-USC0805,C0805,C20,"CAPACITOR, American symbol"
1,68u,CPOL-USD,PANASONIC_D,C21,"POLARIZED CAPACITOR, American symbol"
2,1u,C-USC0805,C0805,"C23, C24","CAPACITOR, American symbol"
4,1u,CPOL-USB/3528-21W,B/3528-21W,"C25, C28, C29, C30","POLARIZED CAPACITOR, American symbol"
2,100u,CPOL-USE,PANASONIC_E,"C26, C27","POLARIZED CAPACITOR, American symbol"
6,10u,CPOL-USCT3528,CT3528,"C3, C51, C52, C53, C57, C59","POLARIZED CAPACITOR, American symbol"
2,390p,C-USC0805,C0805,"C31, C35","CAPACITOR, American symbol"
2,1uF,C-USC1210,C1210,"C32, C39","CAPACITOR, American symbol"
2,0.01u,C-USC0805,C0805,"C33, C34","CAPACITOR, American symbol"
2,330u,CPOL-USSANYO_SMD_F12,SANYO-OSCON_SMD_F12,"C36, C40","POLARIZED CAPACITOR, American symbol"
2,47u,CPOL-USCT3528,CT3528,"C5, C15","POLARIZED CAPACITOR, American symbol"
1,10u,CPOL-USA/3216-18R,A/3216-18R,C6,"POLARIZED CAPACITOR, American symbol"
4,22p,C-USC0805,C0805,"C7, C8, C9, C10","CAPACITOR, American symbol"
1,100 ohms @ 100MHz,L-USL2012C,L2012C,L1,"INDUCTOR, American symbol"
1,100 ohms @ 100MHz,L-USL0805,L0805,L2,"INDUCTOR, American symbol"
1,330uH,L_POWER,15X18,L4,
1,MBRS1100T3G,SCHOTTKY-DIODESMD,SMB,D1,Schottky Diode
2,BAS40-05,BAS40-05,SOT23,"D2, D3",Silicon Schottky Diodes
2,BAS40-04,BAS40-04,SOT23,"D4, D5",Silicon Schottky Diodes
1,TLE2426SOIC,TLE2426SOIC,SO-08,IC10,
1,NCP566-1.8v,NCP566,SOT-223-4,IC11,
1,TLV1117-5V,TLV1117,SOT223-4,IC12,
1,74LS08D,74LS08D,SO14,IC15,Quad 2-input AND gate
2,JRM4556SO-08,JRM4556SO-08,SO-08M,"IC2, IC16",
1,74LS74D,74LS74D,SO14,IC4,"Dual D type positive edge triggered FLIP FLOP, preset and clear"
1,FSUSB42,FSUSB42,MSOP10,IC5,
1,LM2576-3.3,LM2576,TO-263-5,IC6,
1,4066D,4066D,SO14,IC8,Quad bilateral ANALOG SWITCH
1,TLV1117-3.3V,TLV1117,SOT223-4,IC9,
2,JP1E,JP1E,JP1,"JP1, JP6",JUMPER
2,LED5MM,LED5MM,LED5MM,"LED1, LED2",LED
2,12.288Mhz,CRYTALHC49UP,HC49UP@1,"Q1, Q2",CRYSTAL
2,IRF7307,IRF7307,SO-8,"Q3, Q8",
2,IRF7103,IRF7103,SO-8,"Q4, Q9",
7,10-XX,10-XX,B3F-10XX,"S1, S2, S3, S4, S5, S6, S8",OMRON SWITCH
1,SD_CARD,SD_CARD,SD_CARD,S7,
1,MA03-2,MA03-2,MA03-2,SV1,PIN HEADER
2,MA08-1,MA08-1,MA08-1,"SV2, SV3",PIN HEADER
1,ENCODER,ENCODER,ENCODER,SW1,
1,1376408-1_DDR2_2.5V,1376408-1_DDR2_2.5V,6-1376408-1,X1,DDR1 & DDR2 SODIMM SOCKET 0.6mm Pitch 200 Pos.
1,PN61729-S,PN61729-S,PN61729-S,X4,BERG USB connector
